FILE:  ArqProducao.irf
      Well:    Prod

                                             Y1             Y2             Y2
            TIME            DATE           Well  Water Rate SC    Oil Rate SC
                                    Bottom-hole                              
                                       Pressure                              
           (day)                     ((kg/cm2))       (m3/day)       (m3/day)
  1.0000000e-006      2018-07-01         100.00           0.00   2.91587e-004
  3.0000001e-006      2018-07-01         100.00           0.00   4.02093e-003
  4.9999999e-006      2018-07-01         100.00           0.00   9.27269e-003
  7.0000001e-006      2018-07-01         100.00           0.00   1.63504e-002
    0.0099999998      2018-07-01         100.00           0.00   1.93115e-000
     0.020000000      2018-07-01         100.00           0.00   3.16346e-000
     0.029999999      2018-07-01         100.00           0.00   3.85308e-000
     0.039999999      2018-07-01         100.00           0.00   4.39457e-000
     0.050000001      2018-07-01         100.00           0.00   5.06401e-000
     0.059999999      2018-07-01         100.00           0.00   5.39374e-000
     0.070000000      2018-07-01         100.00           0.00   5.58263e-000
     0.079999998      2018-07-01         100.00           0.00   6.10075e-000
     0.090000004      2018-07-01         100.00   4.20492e-000   4.45607e-000
      0.10000000      2018-07-01         100.00   7.74653e-000   4.17613e-000

